resolution,scope,feature,lag,n,spearman_r,p,q_fdr
monthly,pooled,tmax_under_3°C,2,79,0.19697136348526859,0.08187589455984602,0.8048692849142006
weekly,pooled,snow_over_1cm,0,335,-0.09380683348929393,0.08647154087392434,0.8323930094600868
monthly,gilde,rain_over_5mm,2,39,0.27522294288217813,0.0899292820615385,0.8323930094600868
monthly,pooled,snow_over_0.1cm,0,83,0.1871769087691459,0.09018701172034378,0.8323930094600868
weekly,ummels,tmax_over_30°C,2,161,0.13358591026050143,0.09114504642971098,0.8323930094600868
weekly,pooled,tmin_under_5°C,2,331,0.09252124155466283,0.09285717650722833,0.8323930094600868
monthly,gilde,wind_over_30km/h,1,40,-0.268396255307443,0.09402407105906285,0.8323930094600868
weekly,pooled,wind_max_kmh_mean,0,335,-0.09149420440788532,0.09455037283137964,0.8323930094600868
monthly,pooled,gust_over_40km/h,1,81,-0.18686997638575106,0.09483252184657744,0.8323930094600868
monthly,pooled,snow_over_0.5cm,2,79,0.18922751938394047,0.09487792381761137,0.8323930094600868
weekly,ummels,wind_over_35km/h,0,163,-0.1311094139308375,0.09527209668368326,0.8323930094600868
weekly,ummels,tmin_under_5°C,0,163,-0.1306070324224669,0.09655847006488302,0.8323930094600868
weekly,pooled,tmean_under_0°C,0,335,-0.09093368888173038,0.0965964431422027,0.8323930094600868
weekly,ummels,snow_over_1cm,0,163,-0.13030088497486578,0.097349101213696,0.8323930094600868
weekly,gilde,gust_over_50km/h,1,171,-0.1268539203680912,0.09825976081868092,0.8323930094600868
weekly,gilde,tmean_under_2°C,0,172,-0.1260941148261518,0.09930432151213114,0.8323930094600868
weekly,ummels,wind_max_kmh_max,0,163,-0.12906497377051707,0.10059310875926862,0.8323930094600868
weekly,gilde,tmean_under_8°C,0,172,-0.12504724048673735,0.10216595899153505,0.8323930094600868
monthly,ummels,tmin_under_-2°C,0,42,-0.2553606595415954,0.10264351024126284,0.8323930094600868
weekly,ummels,tmin_under_0°C,0,163,-0.12750792880379086,0.10480084276065521,0.8323930094600868
monthly,pooled,temp_max_c_max,0,83,0.1792030057926427,0.10501575891194516,0.8323930094600868
weekly,ummels,snow_over_0.1cm,1,162,-0.12729471352731642,0.10647866968755558,0.8323930094600868
weekly,ummels,wind_over_35km/h,2,161,0.1274847920413336,0.10705352249247026,0.8323930094600868
monthly,ummels,tmin_under_0°C,2,40,0.25851126378114336,0.10725910199109186,0.8323930094600868
weekly,ummels,rain_over_8mm,2,161,0.12725770829139296,0.10768522873330799,0.8323930094600868
monthly,pooled,tmin_under_0°C,2,79,0.1823548992818338,0.1077279827147152,0.8323930094600868
weekly,pooled,rain_over_0.5mm,2,331,0.08833255431656917,0.10868596166656554,0.8323930094600868
monthly,pooled,gust_over_80km/h,1,81,0.17870349244424105,0.1104416544340989,0.8323930094600868
monthly,pooled,rain_over_1mm,2,79,0.1808076181983781,0.11079925364335048,0.8323930094600868
monthly,ummels,tmax_over_32°C,0,42,0.24893225273236064,0.11189827064056825,0.8323930094600868
weekly,pooled,precip_mm_sum,2,331,0.08748446407513694,0.11213572094080954,0.8323930094600868
monthly,ummels,rain_over_15mm,1,41,0.2513788860773436,0.1128732680156537,0.8323930094600868
weekly,pooled,tmin_under_-2°C,0,335,-0.08663851397760469,0.11346808071367974,0.8323930094600868
monthly,pooled,tmean_under_8°C,2,79,0.1792534462479739,0.11395200047209211,0.8323930094600868
