strategy,label,weather_metric,coef,p,pct_per_unit,r2,r_season_adj,n,lag_weeks,r,target,n_extreme,rev_gap_eur
S1_fixed_effects,Gilde GB (Valkenswaard),frost_days,-0.16762648853807036,0.32035926063910913,-15.433035699335795,0.18824211550185632,,,,,,,
S1_fixed_effects,Gilde GB (Valkenswaard),temp_mean_c,0.05614082298854223,0.3785607695966007,5.774662829027277,0.1792300904415327,,,,,,,
S1_fixed_effects,Gilde GB (Valkenswaard),heat_days,0.10373787399353321,0.41206536144368133,10.930963789657877,0.17295226468626546,,,,,,,
S1_fixed_effects,Gilde GB (Valkenswaard),rain_days,0.028655685874632242,0.6032560784288091,2.9070210059533252,0.1720322752767477,,,,,,,
S1_fixed_effects,Gilde GB (Valkenswaard),rain_mm,-0.0007633528232497133,0.9274831076686022,-0.0763061543604393,0.17099033938976937,,,,,,,
S1_fixed_effects,Gilde GB (Valkenswaard),heavy_rain_days,-0.010647588122826401,0.938070018037737,-1.0591103210193853,0.17100563119369483,,,,,,,
S2_distributed_lag,Gilde GB (Valkenswaard),workable_days_roll2w,,0.003514464175532485,,,0.22203737693856623,171.0,,,,,
S2_distributed_lag,Gilde GB (Valkenswaard),bad_days_roll2w,,0.003764746356309048,,,-0.22044139095547968,171.0,,,,,
S2_distributed_lag,Gilde GB (Valkenswaard),workable_days_roll3w,,0.02377396089259275,,,0.173356615856619,170.0,,,,,
S2_distributed_lag,Gilde GB (Valkenswaard),bad_days_roll3w,,0.025515171364631186,,,-0.17129822244554324,170.0,,,,,
S2_distributed_lag,Gilde GB (Valkenswaard),frost_days_roll2w,,0.04955882324795185,,,-0.15041962389784141,171.0,,,,,
S2_distributed_lag,Gilde GB (Valkenswaard),frost_days_roll3w,,0.06140288877695009,,,-0.14378161859559327,170.0,,,,,
S2_distributed_lag,Gilde GB (Valkenswaard),workable_days_roll4w,,0.091857228819809,,,0.13008167457311448,169.0,,,,,
S2_distributed_lag,Gilde GB (Valkenswaard),bad_days_roll4w,,0.09653890085221312,,,-0.12825949288582278,169.0,,,,,
S2_distributed_lag,Gilde GB (Valkenswaard),rain_days_roll2w,,0.11430803646971016,,,-0.12120184898609856,171.0,,,,,
S2_distributed_lag,Gilde GB (Valkenswaard),frost_days_roll4w,,0.2135971246189491,,,-0.09616373399186944,169.0,,,,,
S2_distributed_lag,Gilde GB (Valkenswaard),rain_days_roll3w,,0.23341824344604056,,,-0.09187594585352174,170.0,,,,,
S2_distributed_lag,Gilde GB (Valkenswaard),rain_days_roll4w,,0.3070497117303983,,,-0.07903530333170213,169.0,,,,,
S2_distributed_lag,Gilde GB (Valkenswaard),heavy_rain_days_roll2w,,0.6079358214227217,,,-0.03950622788360485,171.0,,,,,
S2_distributed_lag,Gilde GB (Valkenswaard),heavy_rain_days_roll3w,,0.9462495096266896,,,0.005209066880414559,170.0,,,,,
S2_distributed_lag,Gilde GB (Valkenswaard),heavy_rain_days_roll4w,,0.9693159981103243,,,-0.0029810548423999106,169.0,,,,,
S3_forward_lag,Gilde GB (Valkenswaard),rain_days,,0.017007620220259454,,,,,1.0,-0.18230851070270115,,,
S3_forward_lag,Gilde GB (Valkenswaard),rain_days,,0.018875751058105374,,,,,8.0,0.18319292385796523,,,
S3_forward_lag,Gilde GB (Valkenswaard),frost_days,,0.023967068437427238,,,,,0.0,-0.17211305964540358,,,
S3_forward_lag,Gilde GB (Valkenswaard),workable_days,,0.026946493139084423,,,,,1.0,0.1691975372241121,,,
S3_forward_lag,Gilde GB (Valkenswaard),heat_days,,0.0331143778297632,,,,,6.0,-0.1654824291084928,,,
S3_forward_lag,Gilde GB (Valkenswaard),workable_days,,0.11100838725136909,,,,,0.0,0.12195198902215683,,,
S3_forward_lag,Gilde GB (Valkenswaard),frost_days,,0.13400165147369486,,,,,5.0,-0.11643769236678204,,,
S3_forward_lag,Gilde GB (Valkenswaard),heat_days,,0.2076252829622175,,,,,8.0,-0.09891409177764714,,,
S3_forward_lag,Gilde GB (Valkenswaard),heat_days,,0.21623403715083278,,,,,5.0,-0.09619173608241054,,,
S3_forward_lag,Gilde GB (Valkenswaard),heat_days,,0.22049303375751605,,,,,7.0,-0.09589213475639694,,,
S3_forward_lag,Gilde GB (Valkenswaard),rain_days,,0.22582441139602336,,,,,7.0,0.09479882582853541,,,
S3_forward_lag,Gilde GB (Valkenswaard),workable_days,,0.23622463796304846,,,,,2.0,-0.09132900262042735,,,
S3_forward_lag,Gilde GB (Valkenswaard),heat_days,,0.3144785421868587,,,,,0.0,0.07714496476614369,,,
S3_forward_lag,Gilde GB (Valkenswaard),heat_days,,0.3377505040559187,,,,,4.0,-0.0744120638474948,,,
S3_forward_lag,Gilde GB (Valkenswaard),workable_days,,0.3396536960866291,,,,,7.0,-0.07479940106285903,,,
S3_forward_lag,Gilde GB (Valkenswaard),workable_days,,0.3901420485341994,,,,,8.0,-0.0675446847681157,,,
S3_forward_lag,Gilde GB (Valkenswaard),workable_days,,0.4017653908398561,,,,,4.0,0.06510697941608963,,,
S3_forward_lag,Gilde GB (Valkenswaard),frost_days,,0.4150890994832709,,,,,8.0,-0.06406311992031953,,,
S3_forward_lag,Gilde GB (Valkenswaard),frost_days,,0.44187202143463994,,,,,3.0,0.05954602273582227,,,
S3_forward_lag,Gilde GB (Valkenswaard),workable_days,,0.47874564222222976,,,,,5.0,0.05518426074112148,,,
S3_forward_lag,Gilde GB (Valkenswaard),rain_days,,0.5421694749418144,,,,,5.0,0.047497399593708495,,,
S3_forward_lag,Gilde GB (Valkenswaard),rain_days,,0.571012666836397,,,,,6.0,0.044286701974782273,,,
S3_forward_lag,Gilde GB (Valkenswaard),rain_days,,0.5862516004442622,,,,,2.0,0.04203573807136501,,,
