company,res,season,lag,split,n,r,p,impact_pct,config,factors
gilde,monthly,True,0,33,41,0.04458410030622014,0.7819439326822262,1.5042271193173251,rain=8,{'rain': 8}
gilde,monthly,True,0,33,41,-0.15481579832033798,0.33379800983362407,-13.424349241739852,cold+frost,"{'frost': 0, 'cold': 5}"
gilde,monthly,True,0,33,41,-0.1966970464311564,0.2177211904533468,-18.639670484780314,all-bad,"{'rain': 1, 'frost': 0, 'heat': 28, 'wind': 40}"
gilde,monthly,True,0,33,41,-0.18535580419910871,0.24595110059127498,0.5164929454712253,frost+wind,"{'frost': 0, 'wind': 40}"
gilde,monthly,True,1,33,40,-0.08119737812864056,0.618429898075419,11.8899458304361,frost=-3,{'frost': -3}
gilde,monthly,True,1,33,40,-0.07586754096686739,0.6417275925777914,7.387946654640376,frost=-2,{'frost': -2}
gilde,monthly,True,1,33,40,-0.17926087545756844,0.26838508364294866,-9.16033717148117,frost=-1,{'frost': -1}
gilde,monthly,True,1,33,40,-0.05759275019825322,0.7240948569307012,-5.352087736386091,frost=0,{'frost': 0}
gilde,monthly,True,1,33,40,-0.10281207648094201,0.5278457395690757,-9.16033717148117,frost=1,{'frost': 1}
gilde,monthly,True,1,33,40,-0.07724165605507893,0.6356874358439855,-5.352087736386091,frost=2,{'frost': 2}
gilde,monthly,True,1,33,40,-0.034316005177359415,0.8335013265267481,7.387946654640376,frost=3,{'frost': 3}
gilde,monthly,True,1,33,40,-0.14235095352182683,0.38090386422125133,-18.028720313396818,cold=2,{'cold': 2}
gilde,monthly,True,1,33,40,-0.11840827631205025,0.46679802626000977,-9.16033717148117,cold=4,{'cold': 4}
gilde,monthly,True,1,33,40,0.13403056716631145,0.4096364404992365,-9.16033717148117,cold=6,{'cold': 6}
gilde,monthly,True,1,33,40,-0.06191893435769706,0.7042747688103694,2.393100849896679,cold=8,{'cold': 8}
gilde,monthly,True,1,33,40,-0.017986354201162652,0.9122846270755979,-9.16033717148117,cold=10,{'cold': 10}
gilde,monthly,True,1,33,40,-0.024502120969085675,0.8807066436190287,-20.872675992070533,heat=24,{'heat': 24}
